name,price,rating,description,image,age,review,category
Alternator,100.0,4.0,Charges the vehicle's battery while the engine is running.,https://images.unsplash.com/photo-1673909448809-596113853f6f?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxBbHRlcm5hdG9yfGVufDB8fHx8MTczNzc4NTM2MXww&ixlib=rb-4.0.3&q=85,37,Durable and reliable under tough conditions.,Auto and Parts
Serpentine Belt,10.0,3.9,Drives various engine accessories.,https://images.unsplash.com/photo-1645718171119-eaa6e88e227b?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxTZXJwZW50aW5lJTIwQmVsdHxlbnwwfHx8fDE3Mzc3ODUzNjN8MA&ixlib=rb-4.0.3&q=85,46,Improved my car’s performance noticeably.,Auto and Parts
Coolant,10.0,4.2,Keeps the engine from overheating.,,49,"Instructions were missing, had to figure it out myself.",Auto and Parts
Brake Rotors (Pair),50.0,4.3,Part of the braking system.,https://images.unsplash.com/photo-1579172342894-e6d751ec390c?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxCcmFrZSUyMFJvdG9ycyUyMCUyOFBhaXIlMjl8ZW58MHx8fHwxNzM3Nzg1MzY0fDA&ixlib=rb-4.0.3&q=85,50,"Instructions were missing, had to figure it out myself.",Auto and Parts
Distributor Cap,15.0,3.8,Distributes high voltage to the spark plugs (in vehicles with distributors).,https://images.unsplash.com/photo-1513105737059-ff0cf0580ae6?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxEaXN0cmlidXRvciUyMENhcHxlbnwwfHx8fDE3Mzc3ODUzNjV8MA&ixlib=rb-4.0.3&q=85,43,Easy to install and works perfectly.,Auto and Parts
Fuel Filter,10.0,4.0,Filters contaminants from the fuel.,https://images.unsplash.com/photo-1580287192846-ebb89d7e348e?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxGdWVsJTIwRmlsdGVyfGVufDB8fHx8MTczNzc4NTM2N3ww&ixlib=rb-4.0.3&q=85,45,"Instructions were missing, had to figure it out myself.",Auto and Parts
Timing Belt,50.0,4.1,Synchronizes the crankshaft and camshaft rotation (in vehicles with timing belts).,https://images.unsplash.com/photo-1584741621183-bb35de119593?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxUaW1pbmclMjBCZWx0fGVufDB8fHx8MTczNzc4NTM2OHww&ixlib=rb-4.0.3&q=85,31,Durable and reliable under tough conditions.,Auto and Parts
Car Stereo,50.0,4.4,In-car audio and entertainment system.,https://images.unsplash.com/photo-1557775692-14a239c3a5e5?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxDYXIlMjBTdGVyZW98ZW58MHx8fHwxNzM3Nzg1MzY4fDA&ixlib=rb-4.0.3&q=85,41,Didn’t fit my vehicle despite being advertised as compatible.,Auto and Parts
Moisturizing Face Cream,25.0,4.5,"A rich, hydrating cream for all skin types, reducing dryness and improving skin texture.",https://images.unsplash.com/photo-1571782742478-0816a4773a10?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxNb2lzdHVyaXppbmclMjBGYWNlJTIwQ3JlYW18ZW58MHx8fHwxNzM3Nzg1MzY5fDA&ixlib=rb-4.0.3&q=85,39,Didn’t fit my vehicle despite being advertised as compatible.,Auto and Parts
Gentle Facial Cleanser,18.0,4.2,A mild cleanser that removes impurities without stripping the skin's natural oils.,https://images.unsplash.com/photo-1598460880248-71ec6d2d582b?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxHZW50bGUlMjBGYWNpYWwlMjBDbGVhbnNlcnxlbnwwfHx8fDE3Mzc3ODUzNzF8MA&ixlib=rb-4.0.3&q=85,23,The scent is overpowering and unpleasant.,Beauty and personal care
Hydrating Body Lotion,15.0,4.0,"A lightweight body lotion that leaves skin soft, smooth, and hydrated.",https://images.unsplash.com/photo-1532200846567-1bd8bd5b23aa?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxIeWRyYXRpbmclMjBCb2R5JTIwTG90aW9ufGVufDB8fHx8MTczNzc4NTM3Mnww&ixlib=rb-4.0.3&q=85,43,"Too greasy, doesn’t absorb well.",Beauty and personal care
Sunscreen SPF 30,20.0,4.6,Broad-spectrum sunscreen protecting against UVA and UVB rays.,https://images.unsplash.com/photo-1493625445987-21ef131f4553?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxTdW5zY3JlZW4lMjBTUEYlMjAzMHxlbnwwfHx8fDE3Mzc3ODUzNzJ8MA&ixlib=rb-4.0.3&q=85,27,"Packed with natural ingredients, highly recommend!",Beauty and personal care
Lip Balm with SPF 15,8.0,4.3,A moisturizing lip balm with sun protection.,https://images.unsplash.com/photo-1556958215-26cb2673485a?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxMaXAlMjBCYWxtJTIwd2l0aCUyMFNQRiUyMDE1fGVufDB8fHx8MTczNzc4NTM3M3ww&ixlib=rb-4.0.3&q=85,24,The scent is overpowering and unpleasant.,Beauty and personal care
Mascara,16.0,4.4,Volumizing mascara for lengthening and thickening lashes.,https://images.unsplash.com/photo-1512207159096-c2c91b1dfadd?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxNYXNjYXJhfGVufDB8fHx8MTczNzc4NTM3NXww&ixlib=rb-4.0.3&q=85,38,"Packed with natural ingredients, highly recommend!",Beauty and personal care
Foundation,30.0,4.1,Medium coverage foundation for a natural finish.,https://images.unsplash.com/photo-1610079732288-72a77bd816c9?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxGb3VuZGF0aW9ufGVufDB8fHx8MTczNzc4NTM3Nnww&ixlib=rb-4.0.3&q=85,36,"Packed with natural ingredients, highly recommend!",Beauty and personal care
Concealer,14.0,4.5,Creamy concealer for covering blemishes and dark circles.,https://images.unsplash.com/photo-1547887538-e3a2f32cb1cc?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxDb25jZWFsZXJ8ZW58MHx8fHwxNzM3Nzg1Mzc3fDA&ixlib=rb-4.0.3&q=85,30,The scent is overpowering and unpleasant.,Beauty and personal care
Eyeshadow Palette,22.0,4.0,Versatile eyeshadow palette with a range of colors.,https://images.unsplash.com/photo-1596704017254-9b121068fb31?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxFeWVzaGFkb3clMjBQYWxldHRlfGVufDB8fHx8MTczNzc4NTM3N3ww&ixlib=rb-4.0.3&q=85,33,"Packed with natural ingredients, highly recommend!",Beauty and personal care
Blush,12.0,4.3,Creamy blush for a natural flush of color.,https://images.unsplash.com/photo-1554755229-ca4470e07232?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxCbHVzaHxlbnwwfHx8fDE3Mzc3ODUzNzh8MA&ixlib=rb-4.0.3&q=85,46,"Packed with natural ingredients, highly recommend!",Beauty and personal care
Hair Shampoo,10.0,4.2,Gentle shampoo for daily use.,https://images.unsplash.com/photo-1574621100236-d25b64cfd647?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxIYWlyJTIwU2hhbXBvb3xlbnwwfHx8fDE3Mzc3ODUzNzl8MA&ixlib=rb-4.0.3&q=85,49,"Caused irritation, not suitable for sensitive skin.",Beauty and personal care
Hair Conditioner,10.0,4.1,Nourishing conditioner to soften and detangle hair.,https://images.unsplash.com/photo-1557353425-6c61136de070?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxIYWlyJTIwQ29uZGl0aW9uZXJ8ZW58MHx8fHwxNzM3Nzg1Mzc5fDA&ixlib=rb-4.0.3&q=85,31,Smells amazing and lasts all day.,Beauty and personal care
Hair Mask,18.0,4.4,Intensive hair mask for deep conditioning and repair.,https://images.unsplash.com/photo-1561444326-baba43294667?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxIYWlyJTIwTWFza3xlbnwwfHx8fDE3Mzc3ODUzODF8MA&ixlib=rb-4.0.3&q=85,44,Smells amazing and lasts all day.,Beauty and personal care
Body Scrub,16.0,4.0,Exfoliating body scrub to remove dead skin cells.,https://images.unsplash.com/photo-1526758097130-bab247274f58?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxCb2R5JTIwU2NydWJ8ZW58MHx8fHwxNzM3Nzg1MzgyfDA&ixlib=rb-4.0.3&q=85,48,Smells amazing and lasts all day.,Beauty and personal care
Bath Bomb,5.0,4.5,Fizzy bath bomb to create a relaxing bath experience.,https://images.unsplash.com/photo-1621218095395-c492e6dde021?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxCYXRoJTIwQm9tYnxlbnwwfHx8fDE3Mzc3ODUzODJ8MA&ixlib=rb-4.0.3&q=85,23,The scent is overpowering and unpleasant.,Beauty and personal care
Perfume,45.0,4.3,Long-lasting floral perfume.,https://images.unsplash.com/photo-1541643600914-78b084683601?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxQZXJmdW1lfGVufDB8fHx8MTczNzc4NTM4M3ww&ixlib=rb-4.0.3&q=85,39,"Packed with natural ingredients, highly recommend!",Beauty and personal care
Deodorant,8.0,4.1,Antiperspirant deodorant for long-lasting freshness.,https://images.unsplash.com/photo-1601065732186-512e2ab8f856?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxEZW9kb3JhbnR8ZW58MHx8fHwxNzM3Nzg1Mzg0fDA&ixlib=rb-4.0.3&q=85,41,"Too greasy, doesn’t absorb well.",Beauty and personal care
Nail Polish,7.0,4.2,Long-lasting and vibrant nail polish.,https://images.unsplash.com/photo-1598104358204-87cefc7c5986?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxOYWlsJTIwUG9saXNofGVufDB8fHx8MTczNzc4NTM4NXww&ixlib=rb-4.0.3&q=85,43,The scent is overpowering and unpleasant.,Beauty and personal care
Tweezers,6.0,4.4,Precision tweezers for shaping eyebrows.,https://images.unsplash.com/photo-1620531940052-d0d9aff03c32?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxUd2VlemVyc3xlbnwwfHx8fDE3Mzc3ODUzODV8MA&ixlib=rb-4.0.3&q=85,21,"Too greasy, doesn’t absorb well.",Beauty and personal care
Sheet Mask,3.0,4.5,Hydrating sheet mask for a quick skin treatment.,,34,"Too greasy, doesn’t absorb well.",Beauty and personal care
Facial Cleanser,12.0,4.5,Gentle daily facial cleanser for all skin types. Removes dirt and makeup without over-drying.,,47,Would buy again!,Health and Beauty
Moisturizer,15.0,4.2,Lightweight daily moisturizer with SPF 15. Hydrates and protects skin from sun damage.,,44,Very comfortable.,Health and Beauty
Sunscreen Lotion SPF 50,20.0,4.8,Broad-spectrum sunscreen lotion for face and body.  Water-resistant.,,25,Very comfortable.,Health and Beauty
Hair Shampoo,10.0,4.0,Volumizing shampoo for all hair types. Cleanses and adds body.,https://images.unsplash.com/photo-1574621100236-d25b64cfd647?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxIYWlyJTIwU2hhbXBvb3xlbnwwfHx8fDE3Mzc3ODUzNzl8MA&ixlib=rb-4.0.3&q=85,52,Perfect fit!,Health and Beauty
Hair Conditioner,10.0,4.3,Hydrating conditioner that detangles and leaves hair soft and shiny.,https://images.unsplash.com/photo-1557353425-6c61136de070?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxIYWlyJTIwQ29uZGl0aW9uZXJ8ZW58MHx8fHwxNzM3Nzg1Mzc5fDA&ixlib=rb-4.0.3&q=85,28,Perfect fit!,Health and Beauty
Lip Balm,5.0,4.7,Nourishing lip balm with SPF 15. Protects and moisturizes lips.,,50,Amazing product!,Health and Beauty
Body Lotion,12.0,4.1,Daily body lotion that softens and moisturizes skin.,,47,Stylish and durable.,Health and Beauty
Hand Cream,8.0,4.6,"Intensive hand cream for dry, chapped hands.",,46,Excellent value for money.,Health and Beauty
Nail Polish,7.0,4.4,Long-lasting nail polish in a vibrant shade.,https://images.unsplash.com/photo-1598104358204-87cefc7c5986?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxOYWlsJTIwUG9saXNofGVufDB8fHx8MTczNzc4NTM4NXww&ixlib=rb-4.0.3&q=85,40,Highly recommend.,Health and Beauty
Mascara,15.0,4.5,Volumizing mascara that lengthens and curls lashes.,https://images.unsplash.com/photo-1512207159096-c2c91b1dfadd?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxNYXNjYXJhfGVufDB8fHx8MTczNzc4NTM3NXww&ixlib=rb-4.0.3&q=85,27,Amazing product!,Health and Beauty
Eyeshadow Palette,25.0,4.2,Versatile eyeshadow palette with a range of neutral shades.,https://images.unsplash.com/photo-1596704017254-9b121068fb31?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxFeWVzaGFkb3clMjBQYWxldHRlfGVufDB8fHx8MTczNzc4NTM3N3ww&ixlib=rb-4.0.3&q=85,51,Amazing product!,Health and Beauty
Foundation,20.0,4.3,Medium coverage foundation with a natural finish.,https://images.unsplash.com/photo-1610079732288-72a77bd816c9?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxGb3VuZGF0aW9ufGVufDB8fHx8MTczNzc4NTM3Nnww&ixlib=rb-4.0.3&q=85,59,Stylish and durable.,Health and Beauty
Concealer,14.0,4.6,Creamy concealer for blemishes and dark circles.,https://images.unsplash.com/photo-1547887538-e3a2f32cb1cc?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxDb25jZWFsZXJ8ZW58MHx8fHwxNzM3Nzg1Mzc3fDA&ixlib=rb-4.0.3&q=85,45,Excellent value for money.,Health and Beauty
Blush,12.0,4.4,Powder blush in a natural pink shade.,https://images.unsplash.com/photo-1554755229-ca4470e07232?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxCbHVzaHxlbnwwfHx8fDE3Mzc3ODUzNzh8MA&ixlib=rb-4.0.3&q=85,34,Great quality!,Health and Beauty
Bath Bomb,6.0,4.7,Fizzy bath bomb with essential oils and natural extracts.,https://images.unsplash.com/photo-1621218095395-c492e6dde021?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxCYXRoJTIwQm9tYnxlbnwwfHx8fDE3Mzc3ODUzODJ8MA&ixlib=rb-4.0.3&q=85,40,Great quality!,Health and Beauty
Body Scrub,18.0,4.5,Exfoliating body scrub with sugar and essential oils.,https://images.unsplash.com/photo-1526758097130-bab247274f58?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxCb2R5JTIwU2NydWJ8ZW58MHx8fHwxNzM3Nzg1MzgyfDA&ixlib=rb-4.0.3&q=85,41,Amazing product!,Health and Beauty
Sheet Mask,3.0,4.3,Hydrating sheet mask with hyaluronic acid.,,38,Excellent value for money.,Health and Beauty
Hair Oil,16.0,4.6,Nourishing hair oil that repairs and strengthens damaged hair.,,44,Great quality!,Health and Beauty
Toothpaste,6.0,4.2,Whitening toothpaste with fluoride.,,58,Great quality!,Health and Beauty
Deodorant,8.0,4.0,Natural deodorant with essential oils.,https://images.unsplash.com/photo-1601065732186-512e2ab8f856?crop=entropy&cs=srgb&fm=jpg&ixid=M3w2Njg3MDl8MHwxfHNlYXJjaHwxfHxEZW9kb3JhbnR8ZW58MHx8fHwxNzM3Nzg1Mzg0fDA&ixlib=rb-4.0.3&q=85,20,Great quality!,Health and Beauty
